Count positive,Count negative,Mean sentiment,Max,Min,Median,Sentiment
2,2,0.0026041666666666748,1.0,-1.0,0.0,0
9,3,0.10252525252525252,1.0,-1.0,0.0,0
7,8,-0.02014925373134328,1.0,-1.0,0.0,0
5,9,-0.035507246376811595,1.0,-1.0,0.0,0
0,1,-0.1111111111111111,0.0,-1.0,0.0,0
2,3,-0.009523809523809521,1.0,-1.0,0.0,0
1,1,0.0,1.0,-1.0,0.0,0
1,2,-0.00555555555555555,1.0,-1.0,0.0,0
0,0,0.0,0.0,0.0,0.0,0
3,0,0.12,1.0,0.0,0.0,0
1,1,0.0,1.0,-1.0,0.0,0
2,0,0.04411764705882353,0.8333333333333335,0.0,0.0,0
0,2,-0.3333333333333333,0.0,-1.0,0.0,0
4,4,0.013154761904761902,1.0,-1.25,0.0,0
0,2,-0.6666666666666666,0.0,-1.0,-1.0,0
0,6,-0.1953125,0.0,-1.25,0.0,0
1,2,-0.03333333333333335,1.0,-1.0,0.0,2
0,1,-0.07692307692307693,0.0,-1.0,0.0,2
4,3,0.04479166666666666,1.066666666666666,-1.0,0.0,2
0,0,0.0,0.0,0.0,0.0,2
0,0,0.0,0.0,0.0,0.0,0
0,1,-0.0625,0.0,-1.0,0.0,0
4,1,0.06016260162601624,1.0,-0.2,0.0,0
2,2,-0.04629629629629628,1.0,-1.0,0.0,0
6,1,0.08333333333333325,1.22222222222222,-1.0,0.0,0
2,3,-0.11111111111111113,1.0,-1.0,0.0,0
0,2,-0.5,0.0,-1.0,-0.5,0
0,1,-0.2,0.0,-1.0,0.0,0
1,1,0.0,1.0,-1.0,0.0,0
0,1,-0.2,0.0,-1.0,0.0,0
0,3,-0.2727272727272727,0.0,-1.0,0.0,0
4,0,0.07142857142857147,0.666666666666667,0.0,0.0,2
0,0,0.0,0.0,0.0,0.0,2
3,2,0.02910052910052911,1.0,-0.1666666666666666,0.0,2
0,0,0.0,0.0,0.0,0.0,2
3,2,4.785444071660157e-17,0.166666666666667,-0.333333333333333,0.0,2
0,0,0.0,0.0,0.0,0.0,2
0,1,-0.006172839506172833,0.0,-0.222222222222222,0.0,1
5,1,0.04793028322440087,1.0,-0.4444444444444443,0.0,1
2,2,-9.448706592554524e-18,1.0,-1.0,0.0,1
5,1,0.03782505910165484,1.0,-0.222222222222222,0.0,1
5,1,0.08771929824561402,1.0,-0.3333333333333333,0.0,1
3,4,-0.002583979328165334,0.888888888888889,-0.3333333333333333,0.0,1
3,2,0.041176470588235294,1.0,-1.0,0.0,1
3,4,-0.01880341880341882,0.6,-0.666666666666667,0.0,1
0,3,-0.03571428571428571,0.0,-1.0,0.0,1
2,2,-0.023148148148148164,0.3333333333333333,-1.0,0.0,1
0,6,-0.11825396825396826,0.0,-1.0,0.0,0
3,6,-0.07037037037037036,1.0,-1.5,0.0,0
0,9,-0.21944444444444447,0.0,-1.0,0.0,0
1,4,-0.02083333333333331,1.0,-1.0,0.0,0
0,3,-0.10526315789473684,0.0,-1.0,0.0,0
0,9,-0.10761019283746552,0.0,-1.0,0.0,0
0,5,-0.4090909090909091,0.0,-1.0,0.0,0
2,9,-0.10708041958041956,1.0,-1.0833333333333326,0.0,0
0,0,0.0,0.0,0.0,0.0,2
1,3,-0.026388888888888896,1.0,-1.0,0.0,2
3,0,0.16666666666666663,0.5,0.0,0.0,2
1,4,-0.03718820861678006,0.4444444444444443,-0.933333333333334,0.0,2
0,0,0.0,0.0,0.0,0.0,0
3,4,-0.030952380952380936,1.0,-1.0,0.0,0
0,0,0.0,0.0,0.0,0.0,0
0,8,-0.13157894736842105,0.0,-1.1111111111111116,0.0,0
0,0,0.0,0.0,0.0,0.0,0
1,6,-0.07608695652173912,0.8333333333333335,-1.0,0.0,0
1,0,0.08024691358024691,0.7222222222222222,0.0,0.0,0
1,6,-0.05999999999999996,1.0,-1.066666666666666,0.0,0
2,5,-0.1,1.0,-1.0,0.0,0
3,3,-0.002564102564102555,1.0,-1.3333333333333333,0.0,0
0,2,-0.1507936507936507,0.0,-1.11111111111111,0.0,0
3,3,0.018343815513626884,1.0,-1.166666666666665,0.0,0
0,1,-0.058823529411764705,0.0,-1.0,0.0,0
3,15,-0.16406249999999992,1.0,-1.166666666666665,0.0,0
0,1,-0.1,0.0,-1.0,0.0,0
2,5,-0.01056689342403631,1.166666666666665,-1.0,0.0,0
0,1,-0.125,0.0,-1.25,0.0,0
2,11,-0.054999321665988324,0.9428571428571428,-1.0,0.0,0
0,1,-0.020833333333333374,0.0,-0.166666666666667,0.0,0
7,11,-0.015302197802197806,1.0,-1.125,0.0,0
3,3,-0.054421768707483005,0.666666666666667,-1.0,0.0,0
3,9,-0.08716235032024505,1.0,-1.0,0.0,0
0,2,-0.09999999999999999,0.0,-0.6,0.0,0
0,5,-0.05123456790123456,0.0,-1.0,0.0,0
0,2,-0.13333333333333333,0.0,-1.0,0.0,0
2,7,-0.06994047619047619,0.6666666666666665,-1.5,0.0,0
0,3,-0.12698412698412692,0.0,-1.166666666666665,0.0,0
0,7,-0.08680555555555551,0.0,-1.166666666666665,0.0,0
0,1,-0.05555555555555555,0.0,-1.0,0.0,0
0,5,-0.09358974358974355,0.0,-1.166666666666665,0.0,0
0,0,0.0,0.0,0.0,0.0,2
0,2,-0.09375,0.0,-1.0,0.0,2
1,1,0.0,1.0,-1.0,0.0,2
3,5,-0.03623188405797101,1.0,-1.0,0.0,2
1,1,0.02747252747252746,1.0,-0.285714285714286,0.0,2
2,3,0.00957854406130269,1.0,-1.0,0.0,2
0,0,0.0,0.0,0.0,0.0,2
3,4,-0.018918918918918837,1.0,-1.33333333333333,0.0,2
0,3,-0.15789473684210525,0.0,-1.0,0.0,0
2,5,-0.023809523809523787,1.0,-1.0,0.0,0
0,3,-0.14285714285714285,0.0,-1.0,0.0,0
5,7,-0.024999999999999974,1.0,-1.0,0.0,0
0,2,-0.07407407407407407,0.0,-1.0,0.0,0
2,4,0.017543859649122837,1.0,-0.333333333333333,0.0,0
2,2,0.024242424242424242,1.0,-1.0,0.0,0
4,3,-0.011695906432748543,1.0,-1.0,0.0,0
0,3,-0.04444444444444439,0.0,-0.7777777777777767,0.0,0
3,2,0.07552083333333334,1.0,-0.333333333333333,0.0,0
4,1,0.09523809523809526,1.0,-0.333333333333333,0.0,0
1,5,-0.12345679012345678,1.0,-1.0,0.0,0
0,3,-0.16666666666666666,0.0,-1.0,0.0,0
4,4,-0.030303030303030318,1.0,-1.0,0.0,0
2,5,-0.025490196078431393,1.0,-0.8333333333333335,0.0,0
2,3,-0.05246913580246897,1.0,-1.166666666666665,0.0,0
6,5,-0.012912912912912994,1.0,-1.333333333333335,0.0,0
8,4,0.08495370370370368,1.0,-0.666666666666667,0.0,0
4,2,0.044871794871794886,1.0,-1.0,0.0,0
6,1,0.0747863247863248,1.0,-0.75,0.0,0
1,5,-0.09754901960784312,1.0,-1.066666666666666,0.0,0
0,5,-0.18128019323671501,0.0,-1.125,0.0,0
2,1,0.039682539682539764,1.0,-1.166666666666665,0.0,0
1,2,-0.029605263157894735,1.0,-1.125,0.0,0
0,3,-0.125,0.0,-1.0,0.0,0
0,2,-0.16666666666666655,0.0,-1.166666666666665,0.0,0
2,1,-0.02063492063492057,0.4,-1.166666666666665,0.0,2
2,1,0.0185185185185185,0.333333333333333,-0.444444444444444,0.0,2
0,1,-0.05,0.0,-1.0,0.0,2
3,0,0.043859649122807,0.333333333333333,0.0,0.0,2
4,1,0.04589371980676329,0.6666666666666665,-0.444444444444444,0.0,2
5,0,0.060606060606060594,0.6666666666666665,0.0,0.0,2
1,0,0.023809523809523784,0.333333333333333,0.0,0.0,2
2,0,0.027777777777777776,0.333333333333333,0.0,0.0,2
2,1,0.01956441491325214,1.0,-0.444444444444444,0.0,2
1,0,0.16666666666666666,1.0,0.0,0.0,2
2,1,0.030501089324618747,1.0,-0.444444444444444,0.0,2
0,0,0.0,0.0,0.0,0.0,2
0,1,-0.014336917562723999,0.0,-0.444444444444444,0.0,2
1,0,0.125,1.0,0.0,0.0,2
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
3,4,0.004507337526205463,0.9166666666666666,-0.4,0.0,1
5,0,0.03753387533875338,0.555555555555556,0.0,0.0,1
3,2,0.027777777777777794,0.888888888888889,-0.333333333333333,0.0,1
2,0,0.021505376344086,0.333333333333333,0.0,0.0,1
6,4,0.031481481481481485,1.0,-0.333333333333333,0.0,1
2,1,0.042857142857142816,1.166666666666665,-0.2,0.0,1
6,4,0.027862811791383203,1.0,-0.428571428571429,0.0,1
3,1,0.030409356725146185,0.6,-0.111111111111111,0.0,1
3,1,0.08045977011494253,1.0,-0.333333333333333,0.0,1
4,5,0.03174603174603177,1.0,-1.0,0.0,1
2,2,-0.03111111111111112,1.0,-1.0,0.0,0
2,2,-0.015384615384615387,1.0,-1.0,0.0,0
1,0,0.0333333333333333,0.333333333333333,0.0,0.0,0
1,0,0.0222222222222222,0.333333333333333,0.0,0.0,0
5,8,-0.02848101265822789,1.33333333333333,-1.04,0.0,0
2,4,-0.027863247863247863,1.0,-1.04,0.0,0
7,0,0.14102564102564102,0.8333333333333335,0.0,0.0,2
8,1,0.06382716049382715,1.133333333333334,-0.666666666666667,0.0,2
2,0,0.4,1.0,0.0,0.0,0
4,1,0.21428571428571427,1.0,-1.0,0.0,0
3,4,-0.029435028248587566,1.0,-1.0833333333333326,0.0,0
9,7,0.011847690387016227,1.0,-1.0833333333333326,0.0,0
1,2,-0.07142857142857142,1.0,-1.0,0.0,0
4,4,-0.011029411764705876,1.0,-1.0833333333333326,0.0,0
2,0,0.037634408602150546,1.0,0.0,0.0,0
1,1,0.030303030303030318,1.0,-0.333333333333333,0.0,0
0,0,0.0,0.0,0.0,0.0,0
0,0,0.0,0.0,0.0,0.0,0
2,0,0.01248097412480974,0.8,0.0,0.0,0
2,0,0.01001564945226917,0.6,0.0,0.0,0
2,0,0.021929824561403525,0.25,0.0,0.0,0
6,0,0.0427672955974843,1.0,0.0,0.0,0
0,1,-1.0,-1.0,-1.0,-1.0,0
0,3,-0.030601092896174867,0.0,-1.0,0.0,0
0,3,-0.22727272727272727,0.0,-1.0,0.0,0
1,5,-0.03897435897435897,0.333333333333333,-1.0,0.0,0
0,1,-0.3333333333333333,0.0,-1.0,0.0,0
3,11,-0.06122807017543861,1.166666666666665,-1.066666666666666,0.0,0
0,6,-0.5555555555555555,0.0,-1.11111111111111,-1.0,0
5,12,-0.07026748971193421,1.0,-1.66666666666667,0.0,0
2,1,0.011904761904761915,0.8333333333333335,-1.0,0.0,0
4,4,-0.022943722943722936,0.8333333333333335,-1.5,0.0,0
1,1,-0.0046296296296295825,1.0,-1.166666666666665,0.0,0
2,6,-0.015250150693188665,1.0,-1.0,0.0,0
1,0,0.008547008547008537,0.333333333333333,0.0,0.0,0
2,13,-0.09590094493320299,1.0,-1.5,0.0,0
1,0,0.015151515151515136,0.333333333333333,0.0,0.0,2
2,0,0.065359477124183,1.0,0.0,0.0,2
1,0,0.01666666666666665,0.333333333333333,0.0,0.0,2
4,0,0.04131054131054129,0.8333333333333335,0.0,0.0,2
0,0,0.0,0.0,0.0,0.0,2
0,1,-0.011494252873563206,0.0,-0.333333333333333,0.0,2
1,4,-0.11458333333333334,0.333333333333333,-1.0,0.0,0
2,0,0.1111111111111111,1.0,0.0,0.0,0
0,5,-0.24603174603174596,0.0,-1.166666666666665,0.0,0
7,4,0.07924836601307193,1.0,-1.166666666666665,0.0,0
1,4,-0.11805555555555551,1.0,-1.166666666666665,0.0,0
11,3,0.14092140921409213,1.0,-1.0,0.0,0
0,3,-0.10101010101010091,0.0,-1.166666666666665,0.0,0
8,2,0.18452380952380956,1.0,-1.166666666666665,0.0,0
4,0,0.07017543859649121,1.0,0.0,0.0,0
3,2,0.015046296296296321,1.0,-1.0833333333333326,0.0,0
4,1,0.04471544715447153,1.0,-0.8333333333333335,0.0,0
4,2,0.05734767025089606,1.0,-1.0,0.0,0
5,2,0.031944444444444456,1.0,-1.0,0.0,0
3,5,-0.0787037037037037,1.0,-1.0,0.0,0
4,4,0.020987654320987616,1.22222222222222,-1.0,0.0,0
5,0,0.1521739130434783,1.0,0.0,0.0,0
2,7,-0.006272401433691756,1.0,-1.0,0.0,0
3,4,-0.03333333333333334,1.0,-1.0,0.0,0
3,3,-0.003492063492063487,0.166666666666667,-0.2,0.0,0
1,0,0.034482758620689655,1.0,0.0,0.0,0
3,3,-0.0028381642512077254,1.125,-1.0,0.0,0
2,3,-0.0407407407407407,1.0,-1.11111111111111,0.0,0
1,1,0.0,1.0,-1.0,0.0,0
3,4,-0.019713261648745515,1.0,-1.5,0.0,0
7,2,0.07899305555555543,1.33333333333333,-1.0,0.0,0
1,3,-0.04411764705882347,1.0,-1.166666666666665,0.0,0
0,2,-0.101010101010101,0.0,-1.0,0.0,0
6,4,-0.007692307692307702,1.0,-1.0,0.0,0
1,0,0.0946502057613169,0.8518518518518521,0.0,0.0,0
3,0,0.1365079365079365,0.8,0.0,0.0,2
9,1,0.29708994708994685,1.22222222222222,-0.444444444444444,0.0,2
2,1,0.004597701149425279,0.8,-1.0,0.0,2
4,0,0.13675213675213665,1.22222222222222,0.0,0.0,2
8,0,0.20582010582010582,1.0,0.0,0.0,2
9,0,0.2814814814814811,1.22222222222222,0.0,0.0,2
5,2,0.0801169590643275,1.0,-0.333333333333333,0.0,2
5,2,0.12962962962962946,1.22222222222222,-0.333333333333333,0.0,2
2,0,0.08695652173913043,1.0,0.0,0.0,2
3,2,0.029569892473118302,1.0,-1.0833333333333326,0.0,2
9,7,0.014865205341395786,1.166666666666665,-1.0,0.0,2
3,5,0.014285714285714266,1.166666666666665,-1.0,0.0,2
5,0,0.07733480989294943,1.0238095238095235,0.0,0.0,2
0,0,0.0,0.0,0.0,0.0,2
3,2,0.009876543209876548,1.0,-1.0,0.0,2
0,2,-0.04575163398692806,0.0,-0.444444444444444,0.0,2
0,0,0.0,0.0,0.0,0.0,1
4,3,0.02131313131313133,1.0,-0.8,0.0,1
3,1,0.01893939393939393,0.8333333333333334,-1.0,0.0,1
3,7,-0.029497354497354487,1.0,-1.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
2,0,0.024305555555555552,1.0,0.0,0.0,1
4,1,0.03126614987080103,0.8333333333333335,-0.222222222222222,0.0,1
1,2,-0.007575757575757591,0.333333333333333,-0.5,0.0,1
3,2,0.045751633986928116,1.0,-0.5,0.0,1
3,1,0.003472222222222225,0.25,-0.333333333333333,0.0,1
0,1,-0.015873015873015855,0.0,-0.333333333333333,0.0,0
2,4,-0.03735632183908046,1.0,-1.5,0.0,0
4,10,-0.09186085781830447,1.0,-1.33333333333333,0.0,0
3,7,-0.05110630110630106,1.0,-1.5,0.0,0
2,1,0.04,1.0,-1.0,0.0,0
0,4,-0.07861635220125787,0.0,-1.5,0.0,0
9,6,0.04322222222222219,1.0,-1.0,0.0,0
3,4,-0.046666666666666676,1.0,-1.5,0.0,0
3,0,0.11309523809523785,1.33333333333333,0.0,0.0,2
3,0,0.05,0.5,0.0,0.0,2
2,3,0.04761904761904745,1.33333333333333,-0.333333333333333,0.0,2
2,2,0.005291005291005303,0.5555555555555557,-0.333333333333333,0.0,2
3,0,0.04444444444444443,0.5,0.0,0.0,2
3,0,0.030303030303030307,0.666666666666667,0.0,0.0,2
1,2,-0.013513513513513514,1.0,-1.0,0.0,2
3,0,0.025210084033613453,1.0,0.0,0.0,2
3,1,0.11111111111111112,1.0,-0.333333333333333,0.0,0
0,2,-0.10256410256410255,0.0,-1.0,0.0,0
5,1,0.09624183006535948,1.0,-0.9166666666666664,0.0,0
3,4,-0.01574074074074073,1.0,-1.0833333333333326,0.0,0
7,1,0.18930041152263374,1.0,-1.0,0.0,0
5,2,0.04563492063492064,1.0,-1.0833333333333326,0.0,0
