200702;000000;1792;1792;1610;1666;307363
200703;000000;1682;1776.6;1665;1754.8;372035
200706;000000;1803.2;1918;1763.8;1852;915188
200707;000000;1899;1927.4;1852;1873;643193
200708;000000;1880;1889.8;1835;1838.6;136683
200709;000000;1845;1855;1782.6;1808;165055
200710;000000;1804;1838;1803.4;1811.8;88820
200713;000000;1822.4;1838;1818;1822;90603
200714;000000;1823;1824.8;1781.4;1786.6;95013
200715;000000;1790;1845;1790;1811.8;117678
200716;000000;1801.4;1822;1801.4;1821;43330
200717;000000;1825;1840;1808;1827;101119
200720;000000;1827;1841.6;1810.2;1822;103368
200721;000000;1830;1878.6;1830;1851.2;168971
200722;000000;1855.2;1874.2;1835.6;1863;181213
200723;000000;1886;1915.6;1876.6;1911;330180
200724;000000;1912;1915.8;1882.8;1906.2;204869
200727;000000;1915.8;1935;1905.2;1915;183102
200728;000000;1915.2;1990.6;1915;1985;168197
200729;000000;2020.6;2021.6;1985;2005.8;259106
200730;000000;2018.8;2026;1970.2;1990;119237
200731;000000;2004;2022;1960;1975;117978
200803;000000;2001.2;2051.2;1994.2;2028;271084
200804;000000;2049.8;2062;2016;2043;226814
200805;000000;2054.8;2054.8;2025;2031.4;175816
200806;000000;2039.6;2040;1980;1985;265695
200807;000000;2008.4;2010;1972;1986;164251
200810;000000;1999.8;2009;1970;1999.4;116975
200811;000000;2000;2008;1970;1973;286111
200812;000000;1974;1989.4;1957;1986.6;132904
200813;000000;1990;2055;1975;2044;396169
200814;000000;2042.4;2085;2015;2079.8;344086
200817;000000;2086.8;2145.8;2080;2106;553436
200818;000000;2109.8;2138.4;2060.2;2080;305196
200819;000000;2085.8;2195;2083;2163;583979
200820;000000;2169.4;2189.2;2110;2128.8;454478
200821;000000;2148.8;2224;2120.2;2150;538357
200824;000000;2174.8;2214.8;2172.2;2182.6;416076
200825;000000;2192;2344.8;2190;2314;752539
200826;000000;2350;2360;2282.2;2337.6;1113914
200827;000000;2348;2448;2304;2335.2;1023040
200828;000000;2340;2359;2262.8;2299;599807
200831;000000;2314.2;2364.8;2304.8;2350;365700
200901;000000;2364.8;2415.8;2341;2390;526733
200902;000000;2403.4;2418;2310.8;2316.8;447650
200903;000000;2321;2375;2230;2268;524341
200904;000000;2255.6;2310;2160;2200;686244
200907;000000;2220;2223.6;2169.8;2182.2;287688
200908;000000;2200;2205;2069.2;2110.2;574521
200909;000000;2106.6;2170;2072.4;2143;371264
200910;000000;2169;2181.2;2117;2138.2;280920
200911;000000;2145.2;2155.6;2120;2129;252689
200914;000000;2141.8;2247;2136.2;2210;460891
200915;000000;2237.4;2288;2211.6;2228.8;414885
200916;000000;2235;2259.8;2166;2177;490152
200917;000000;2160;2222;2134;2222;657544
200918;000000;2192;2224;2172.4;2220;347154
200921;000000;2222;2238;2170.2;2202.4;413107
200922;000000;2202.2;2357.6;2188;2307.2;875397
200923;000000;2350.2;2439.8;2206.2;2325.2;1844103
200924;000000;2296.8;2296.8;2179;2216.6;2175024
200925;000000;2227;2229.4;2163;2200;692691
200928;000000;2183;2240;2170;2210;797180
200929;000000;2218;2219.4;2135;2156.2;1012171
200930;000000;2143;2147.4;2115;2135;833900
201001;000000;2148.8;2174.8;2127;2156.4;409838
201002;000000;2148.8;2219;2117.2;2201.4;602789
201005;000000;2220;2224.8;2178.6;2198.2;404522
201006;000000;2200;2202;2152;2156.4;369914
201007;000000;2170.2;2175;2132.4;2152.6;249829
201008;000000;2160;2196.4;2157;2170.8;423617
201009;000000;2183.2;2185.4;2150.4;2167.8;276065
201012;000000;2171.2;2250;2170;2239;777269
201013;000000;2244.8;2283.4;2235.2;2268;757343
201014;000000;2270.4;2292;2241.6;2266.8;364850
201015;000000;2269;2270;2242.6;2256.8;300010
201016;000000;2256;2318.4;2250;2289;523357
201019;000000;2300;2324.8;2275.4;2295.6;386100
201020;000000;2297.8;2305;2261;2269;282211
201021;000000;2270;2273.6;2241.8;2257.4;274580
201022;000000;2252;2274.2;2228.4;2249.8;348922
201023;000000;2232.4;2250.6;2224.4;2242;375004
201026;000000;2230;2320;2150;2163;867358
201027;000000;2175;2180;2102;2151;1295753
201028;000000;2141;2159;2071.2;2109;745476
201029;000000;2114.8;2248.2;2099.8;2127.6;370007
201030;000000;2117.8;2117.8;2080;2090;321898
201102;000000;2096;2137.4;2071;2119.8;431847
201103;000000;2134.8;2148.8;2100;2119.8;478646
201105;000000;2125.6;2200;2125.6;2196.2;905713
201106;000000;2185;2253.6;2159;2242;588792
201109;000000;2260.4;2291;2236;2264;867678
201110;000000;2268.2;2297.4;2202;2250;920956
201111;000000;2310;2333.8;2210.4;2234;1896374
201112;000000;2240;2269;2205.8;2216.6;866174
201113;000000;2226.4;2244.4;2210;2227;569851
201116;000000;2229.8;2250;2178.6;2206.8;1078412
201117;000000;2198;2216;2161;2177.4;734321
201118;000000;2175;2193;2151.2;2166;745204
201119;000000;2174.2;2197;2132.6;2140.8;848127
201120;000000;2147;2164.4;2130.2;2155;692635
201123;000000;2167;2209.2;2160;2180;1118823
201124;000000;2190;2206;2152;2175.6;1149268
201125;000000;2179.4;2208.6;2170;2197;1464804
201126;000000;2200;2259.8;2191;2256.8;1389778
201127;000000;2260.6;2290.6;2248.2;2280.8;1327901
201130;000000;2290;2295;2169.8;2193;8514985
201201;000000;2206.6;2207;2157.8;2174;1229986
201202;000000;2171.2;2185;2152.4;2163;587842
201203;000000;2161;2174;2142.2;2160;668654
201204;000000;2171.4;2171.8;2130;2141.8;689972
201207;000000;2147;2150;2105;2114.8;711631
201208;000000;2110;2147;2095.6;2126.6;953310
201209;000000;2122;2137;2105;2110.4;674157
201210;000000;2114.2;2122;2085.4;2095;665762
201211;000000;2110;2133.2;2090.4;2111;680533
201214;000000;2114.4;2121.8;2080;2085.2;535145
201215;000000;2094.8;2095;2073.2;2086;467253
201216;000000;2082;2093;1978.4;2063.8;550856
201217;000000;2074.6;2077.8;2021;2049.6;731165
201218;000000;2049;2049.8;1980;2007.4;874774
201221;000000;2011.2;2029.8;1952.2;2000.8;927546
201222;000000;2009.6;2018.6;1965.8;1979;540760
201223;000000;1978.2;1995;1959.2;1973.2;451357
201224;000000;1973;1994.8;1960;1982.6;474717
201225;000000;1985.2;2047.6;1974.2;2025;624058
201228;000000;2034.8;2049.6;1990.2;1999;618072
201229;000000;2007.8;2010;1966;1975.8;652519
201230;000000;1977.4;1993.8;1970;1980.8;476873
210104;000000;1990;1999;1980;1984.8;392692
210105;000000;1989;2057.6;1979;2041.8;745005
210106;000000;2039.8;2077;1998.2;2005.6;825941
210108;000000;2013;2037.2;2005;2016;600224
210111;000000;2016;2073;2006.2;2059;775688
210112;000000;2063.8;2086.6;2015.8;2044.8;554443
210113;000000;2033.6;2049;2000.2;2017.4;448602
210114;000000;2012.2;2029;1940.4;1987.8;1144165
210115;000000;1979.2;1996.6;1950.2;1967;498506
210118;000000;1964.8;1988;1945.4;1958.6;485328
210119;000000;1965.4;1969.8;1924;1935.4;913306
210120;000000;1932.6;1968.2;1925.4;1966.2;400037
210121;000000;1962;1988;1934.2;1950.8;887546
210122;000000;1950;1963;1939;1951;380923
210125;000000;1952;1967;1943.2;1959.8;414373
210126;000000;1959.2;1984;1950;1979.4;491488
210127;000000;1985.4;2010.4;1961.2;1990;736262
210128;000000;1990;2003.8;1965.6;1979.2;560934
210129;000000;1974.8;1992.8;1920.2;1962;587278
210201;000000;1962;1987;1936;1977;543961
210202;000000;1976;2017;1971.4;1990.4;518247
210203;000000;1998.6;2025;1978.4;2014.8;448008
210204;000000;2018;2041.8;2012.2;2037.6;384430
210205;000000;2035.2;2052;2023;2042;389525
210208;000000;2042;2053.2;2019;2023;370670
210209;000000;2028.4;2035;2001;2013.6;315689
210210;000000;2025.8;2035;2010.2;2013.6;385312
210211;000000;2019.8;2029.8;2013.2;2020.2;233881
210212;000000;2025;2032.8;1977;2004.8;569616
210215;000000;2006;2027.6;2004;2021.2;229093
210216;000000;2024;2048;2006.4;2039.8;441171
210217;000000;2040;2053;2001;2024.2;465231
210218;000000;2015.2;2022.6;1993.2;1997.4;413517
210219;000000;1997.4;2032.8;1985;2018.8;286011
210220;000000;2021.8;2025;2010;2019.2;38733
210222;000000;2018;2023.8;1996;2002.4;320976
210224;000000;2003;2050;1995.2;2041.8;602434
210225;000000;2043;2047.2;2005;2007.6;280794
210226;000000;2008;2039.2;1987.6;2011.4;900672
210301;000000;2017;2022.2;2005;2013;207351
210302;000000;2010;2031.8;1998;2007;358293
210303;000000;2011;2024;2001;2010;221049
210304;000000;2016.6;2026.6;1936.6;1938.8;663395
210305;000000;1955;1955;1860;1908.2;756607
210309;000000;1901.8;1904.8;1860.2;1884;745188
210310;000000;1884;1914.6;1836.2;1851.8;797669
210311;000000;1852.2;1871.2;1841.2;1861.8;445134
210312;000000;1862;1867;1805.2;1827;996967
210315;000000;1825;1845;1808.2;1834;671355
210316;000000;1839.8;1840.8;1805.2;1810.2;675473
210317;000000;1813;1829;1800;1818.8;729379
210318;000000;1820;1824;1795;1804;646739
210319;000000;1805.8;1813;1780.4;1792;603077
210322;000000;1793;1799.2;1782.2;1794.2;379820
210323;000000;1790.6;1790.6;1742.4;1749;707190
210324;000000;1753;1763.8;1728.6;1741.2;398988
210325;000000;1745.2;1745.2;1700.2;1716;512575
210326;000000;1713.6;1741.4;1711;1732;431065
210329;000000;1733.8;1771;1731.2;1755.8;406811
210330;000000;1761;1789.8;1738.8;1750;511040
210331;000000;1750.8;1754;1714.4;1738;582620
210401;000000;1740;1759.6;1724.8;1751.8;402634
210402;000000;1760;1773;1750.2;1770.2;158859
210405;000000;1764;1800;1752;1790.2;254922
210406;000000;1788;1796.8;1745.6;1759.4;391742
210407;000000;1766.2;1771;1736.2;1748;344093
210408;000000;1748;1759;1731.4;1743.6;246472
210409;000000;1759.6;1759.6;1704.2;1717.2;472162
210412;000000;1719.8;1756.4;1714.6;1750.2;470006
210413;000000;1751.2;1799;1749.2;1787.2;511199
210414;000000;1785;1825.6;1757.6;1803.2;761943
210415;000000;1804.8;1805;1750.4;1765;644301
210416;000000;1769;1776.6;1740.2;1750.6;407929
210419;000000;1745.2;1755.2;1725;1739;329420
210420;000000;1743.2;1751.8;1701.4;1720;744202
210421;000000;1715;1721.6;1685;1695;803140
210422;000000;1698;1743.2;1692.6;1728.4;796544
210423;000000;1733.4;1746;1710;1735.2;347521
210426;000000;1739.4;1742.4;1721.4;1731.2;192524
210427;000000;1732;1748;1721;1722.2;259865
210428;000000;1728.8;1735.4;1703;1719.6;303975
210429;000000;1726.6;1738.8;1694.2;1707;492168
210430;000000;1709.6;1714;1674.4;1681.2;646024
210504;000000;1691;1695;1652.2;1662.8;529444
210505;000000;1666;1674.8;1656;1663;347153
210506;000000;1666.6;1666.8;1630;1642.6;619984
210507;000000;1647;1649;1621.8;1636.8;421577
210510;000000;1640.6;1641.2;1610.6;1613;308326
210511;000000;1616;1617.4;1567.6;1588.6;848005
210512;000000;1588.6;1594.8;1551;1553;645431
210513;000000;1553;1554.6;1502.8;1505;1036882
210514;000000;1511.2;1516.6;1465.8;1516.4;942160
210517;000000;1527.2;1532.8;1491;1516.8;710691
210518;000000;1520.8;1552;1509;1549.2;811947
210519;000000;1550.6;1554.2;1501;1517;526280
210520;000000;1518;1520.2;1500.2;1509.8;340911
210521;000000;1510;1546;1500.6;1530.6;422014
210524;000000;1530.6;1563.8;1530;1562.2;321404
210525;000000;1564;1573.8;1552;1570;331201
210526;000000;1573.6;1632.6;1572.2;1630.2;954488
210527;000000;1630.2;1709;1615.2;1680;1786185
210528;000000;1676.8;1697.8;1642;1669.6;709406
210531;000000;1674.6;1701.4;1665.6;1673.6;368876
210601;000000;1680;1717;1676;1693.4;515323
210602;000000;1694;1705.8;1672.2;1678.6;329439
210603;000000;1687.2;1689;1660;1673.6;309199
210604;000000;1673.8;1681.4;1639.2;1669.8;290302
210607;000000;1674.6;1674.6;1652.2;1663;214502
210608;000000;1662;1683.6;1660;1662.6;293967
210609;000000;1666.8;1680;1658;1670;270701
210610;000000;1670.6;1673.4;1654;1664;327171
210611;000000;1665.6;1668.2;1628;1637.8;320821
210614;000000;1640.8;1644.6;1625.4;1636.6;142312
210615;000000;1636.6;1637.4;1616.6;1618;246525
210616;000000;1615.2;1624.4;1597;1600.6;580801
210617;000000;1603;1642.8;1587.8;1631.4;401455
210618;000000;1638;1646.8;1611.8;1624.2;373970
210621;000000;1630.8;1643.2;1608.2;1614;274223
210622;000000;1621;1621.2;1592;1601;389909
210623;000000;1602.2;1609;1581.8;1602.2;349094
210624;000000;1604.4;1604.4;1581.4;1590;244223
210625;000000;1593.8;1620;1588.8;1610.8;241976
210628;000000;1610.8;1630;1602;1627.2;309855
210629;000000;1628;1645;1591.4;1622;427988
210630;000000;1616;1664;1605.4;1655.6;397655
210701;000000;1657.2;1677.6;1643.4;1669.4;361049
210702;000000;1670;1679;1650;1661.2;199716
210705;000000;1667.8;1668.8;1637.2;1658;193552
210706;000000;1658;1665.2;1643.4;1649;350720
210707;000000;1650.4;1669.2;1646.8;1649;259954
210708;000000;1649;1650.4;1623.6;1629.8;300085
210709;000000;1626.6;1641;1605;1616;233526
210712;000000;1614.6;1620.6;1599.4;1619.6;181586
210713;000000;1619.4;1650;1612.2;1642.4;216623
210714;000000;1647.8;1647.8;1606;1607;291297
210715;000000;1606;1618.8;1578;1585.2;437482
210716;000000;1594.8;1604;1557.6;1560.8;277366
210719;000000;1561.4;1567.4;1513.4;1528.6;451228
210720;000000;1534.8;1543;1516.4;1534;205688
210721;000000;1536;1564.2;1525.8;1541;175222
210722;000000;1553;1557.8;1533.4;1549;172300
210723;000000;1549.8;1560;1525;1539;148757
210726;000000;1536.2;1547.2;1523;1544;140897
210727;000000;1544;1544;1508.8;1517.4;233678
210728;000000;1523.6;1554.6;1519.2;1548.6;192010
210729;000000;1555;1558.4;1515.4;1520.4;508863
210730;000000;1517.6;1523.2;1500.6;1514.8;430663
210802;000000;1519.2;1520.6;1500.4;1506.4;250450
210803;000000;1506.4;1508.8;1470;1481.4;513667
210804;000000;1483.2;1491.8;1478.4;1487.8;205847
210805;000000;1490.4;1508;1480.4;1507;239633
210806;000000;1507.8;1526;1495.6;1506;266920
210809;000000;1504.2;1521.6;1495.4;1505.6;183866
210810;000000;1510.2;1519.2;1502;1515;252210
210811;000000;1518.8;1549;1513.4;1543;353070
210812;000000;1549.4;1553.8;1525.8;1536.6;204407
210813;000000;1536.6;1539;1508.2;1513.8;217272
210816;000000;1513.8;1514.4;1486;1494;301687
210817;000000;1491.2;1500;1478;1488.8;263812
210818;000000;1490;1496.2;1480;1482;181284
210819;000000;1481;1487.6;1466;1482.6;337864
210820;000000;1483;1483;1438.6;1441.6;466932
210823;000000;1444.8;1456.4;1413.8;1426.2;436935
210824;000000;1432;1438.8;1419;1436.4;288082
210825;000000;1437;1449.4;1426.4;1436;369496
210826;000000;1435;1442.6;1421;1432.2;208221
210827;000000;1432.2;1436;1420;1430.2;219027
210830;000000;1430.2;1443.8;1425.2;1436;192590
210831;000000;1440;1486.8;1438.4;1484.4;698413
210901;000000;1488;1521.2;1469;1519;602714
210902;000000;1514.8;1545.2;1505.6;1535.2;451711
210903;000000;1542.2;1544;1506;1541;274721
210906;000000;1541;1561;1531.2;1541.2;302195
210907;000000;1542;1547.6;1512;1536;296865
210908;000000;1539.2;1542.4;1522.6;1529.8;230097
210909;000000;1525;1530.2;1512.2;1514.8;202724
210910;000000;1518;1534.8;1515.4;1530.8;199093
210913;000000;1533.2;1592.4;1530.2;1586.4;613423
210914;000000;1590;1594.8;1564.8;1571.2;457639
210915;000000;1577.6;1586;1553.4;1557.2;229283
210916;000000;1557.4;1572;1540.2;1559.2;359493
210917;000000;1566.6;1582.8;1558.2;1570.4;340402
210920;000000;1570.2;1576.2;1515;1521.4;411345
210921;000000;1527.6;1546.8;1516.2;1535;250749
210922;000000;1540;1540.2;1521.4;1537.8;202833
210923;000000;1541.8;1544.4;1501.2;1515;356138
210924;000000;1513;1530;1508;1525.4;210060
210927;000000;1525.6;1530.2;1480.8;1487;389023
210928;000000;1489.8;1516.2;1477.8;1498.2;303863
210929;000000;1500;1503.2;1488;1497.2;133296
210930;000000;1503.2;1506.2;1481;1488;253361
211001;000000;1483.2;1487.6;1474;1481.8;165429
211004;000000;1484;1487.6;1448.2;1461.8;269232
211005;000000;1457;1478.4;1437.6;1466;298879
211006;000000;1466;1470.4;1431.2;1448.2;332168
211007;000000;1458.2;1495;1442.8;1495;351315
211008;000000;1495.2;1498.4;1460;1465;268731
211011;000000;1468.6;1470.2;1438;1456.6;308805
211012;000000;1456.6;1489.2;1447.2;1468;440577
211013;000000;1462.8;1478.4;1452.6;1473.2;215627
211014;000000;1476.8;1486.8;1470;1472.8;252264
211015;000000;1468.2;1499.6;1468.2;1495;281633
211018;000000;1499;1571;1491;1570.6;780974
211019;000000;1571.6;1591;1563.4;1573.8;488968
211020;000000;1572;1619.4;1572;1614.8;536853
211021;000000;1609;1618.6;1586;1596.2;367976
211022;000000;1602.6;1603;1538;1546;572028
211025;000000;1545;1555.8;1522;1547;389985
211026;000000;1557;1557.2;1509;1515.4;292053
211027;000000;1515;1546.2;1502.8;1540.2;382913
211028;000000;1539;1545.2;1484.6;1504.2;708834
211029;000000;1504.2;1509;1443.6;1461.2;685916
211101;000000;1473;1473;1439.8;1463.4;513701
211102;000000;1465;1469;1434;1441.4;404439
211103;000000;1442.4;1457.4;1437.2;1449.8;234928
211105;000000;1452;1453.4;1427;1438;222612
211108;000000;1442;1457;1426.2;1433.8;345328
211109;000000;1428.8;1435.6;1400.6;1405;565948
211110;000000;1409;1415.6;1371.6;1379.4;598352
211111;000000;1389.4;1397.2;1371.2;1391;385666
211112;000000;1395;1413.8;1378;1403;581613
211115;000000;1405;1414;1384;1388.8;314129
211116;000000;1393.4;1401;1378;1389.4;319555
211117;000000;1385;1400;1380.2;1380.8;253253
211118;000000;1380.8;1398.8;1376.4;1385;280243
211119;000000;1390.8;1395;1320;1325.8;1016709
211122;000000;1329;1339.2;1259.2;1280;1101739
211123;000000;1280;1296;1256.4;1295;765551
211124;000000;1305;1311.8;1266.8;1290.2;442730
211125;000000;1291.6;1301.6;1268.2;1279;326323
211126;000000;1268;1268;1203;1206.8;775285
211129;000000;1219;1265.4;1212.6;1244.8;661610
211130;000000;1210;1267.4;1210;1247;892553
211201;000000;1257;1300;1254.4;1264.8;570964
211202;000000;1270.4;1378.6;1260;1348.2;1872952
211203;000000;1346.8;1347.2;1212.4;1240.8;1832216
211206;000000;1245.4;1272;1155;1167.8;1203592
211207;000000;1165;1173.2;1088.2;1111;2139075
211208;000000;1121.8;1129.4;1016.4;1041.4;2375378
211209;000000;1042.8;1042.8;1001.2;1015;1805462
211210;000000;1018.4;1053.8;983;986.6;1406697
211213;000000;987;993;901;905.8;3177325
211214;000000;914.4;950;842.8;897.4;1784849
211215;000000;900;973.8;883.6;961;2233053
211216;000000;966;1019;951.4;982.8;2446215
211217;000000;983.4;1002.2;940;962;1109830
211220;000000;957.2;957.8;891;912;1132272
211221;000000;915.2;948;915;924.6;766397
211222;000000;925;929.6;895;912.2;917610
211223;000000;917.2;918;872.6;880.2;1592364
211224;000000;878.4;884.2;850;877;1703934
211227;000000;877.2;899;877;884.8;1136067
211228;000000;887.8;894.2;870;876.6;1012474
211229;000000;876.2;883;860;865.4;674672
211230;000000;865.4;874;859.4;872.4;390664
220103;000000;873;889.8;869;885.8;467181
220104;000000;885.2;888.6;865.2;874;580650
220105;000000;874;878.8;813.2;816.2;1320091
220106;000000;814.8;836.2;774;793;2258597
220110;000000;796;805;752.6;766.8;1338224
220111;000000;770;780.2;756;770.8;1341603
220112;000000;770;791.6;763;770.4;1678976
220113;000000;768;783;739.4;754.6;1513122
220114;000000;754;765;660;686.4;4356559
220117;000000;686.4;722.2;652;710.6;2461356
220118;000000;712;718.8;640;662.8;4020323
220119;000000;665;696.8;612.2;675.6;4364347
220120;000000;680;741;670.4;683;2822684
220121;000000;684;688.4;640.2;645.8;2456141
220124;000000;651;662.4;556.8;596.2;5360718
220125;000000;595;613.4;562.2;594.2;3143841
220126;000000;595.8;604;567.8;583;2973843
220127;000000;576;609.4;571;591.2;3582583
220128;000000;594.4;607.8;585;597;2296372
220131;000000;599;635;597.2;630;2904545
220201;000000;630.4;666.6;630.4;655.6;2948496
220202;000000;660;685;615.6;633;2999827
220203;000000;623.8;624.8;588.8;602;2681231
220204;000000;610;623;555;580.8;3017420
220207;000000;583;592.8;564.8;581.8;1389619
220208;000000;578.4;614;578.2;609.8;1416060
220209;000000;610;639.6;609;635;1495157
