"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group B","high school","standard","none","67","91","84"
"female","group D","some college","standard","none","63","63","67"
"female","group A","associate's degree","standard","completed","73","83","85"
"female","group C","associate's degree","standard","none","85","98","95"
"male","group B","bachelor's degree","standard","none","75","57","63"
"female","group E","some college","standard","none","85","78","74"
"male","group A","some high school","free/reduced","completed","40","34","30"
"female","group E","some high school","standard","completed","57","65","68"
"male","group D","some high school","standard","none","81","85","81"
"male","group E","some college","free/reduced","completed","95","92","92"
"male","group B","some college","standard","none","73","58","61"
"female","group D","bachelor's degree","free/reduced","none","45","62","55"
"male","group D","associate's degree","free/reduced","completed","94","87","90"
"female","group E","high school","free/reduced","completed","72","77","75"
"female","group D","some college","standard","none","52","54","54"
"male","group E","bachelor's degree","free/reduced","completed","98","92","96"
"male","group D","high school","standard","none","66","56","53"
"female","group B","some college","standard","completed","46","53","56"
"male","group C","associate's degree","standard","none","77","73","68"
"male","group E","high school","standard","none","79","64","60"
"male","group E","associate's degree","free/reduced","none","66","58","60"
"female","group D","high school","standard","none","82","88","81"
"female","group C","high school","standard","none","53","56","56"
"female","group C","associate's degree","free/reduced","none","74","82","83"
"female","group C","bachelor's degree","free/reduced","completed","83","97","97"
"female","group C","some high school","free/reduced","completed","35","49","48"
"male","group E","some college","free/reduced","none","49","55","49"
"female","group D","some college","standard","completed","50","56","63"
"female","group C","associate's degree","standard","none","45","54","56"
"male","group B","associate's degree","standard","completed","81","74","72"
"male","group B","associate's degree","free/reduced","none","27","37","30"
"female","group A","some high school","standard","none","46","57","50"
"female","group C","associate's degree","standard","none","65","68","74"
"male","group B","associate's degree","standard","completed","63","66","58"
"female","group C","some college","standard","completed","70","87","88"
"female","group D","some college","free/reduced","none","72","91","89"
"female","group D","associate's degree","standard","none","57","68","71"
"male","group E","high school","standard","none","93","85","77"
"male","group C","associate's degree","standard","completed","84","73","77"
"female","group D","high school","standard","none","72","86","82"
"male","group D","some college","standard","none","67","59","59"
"male","group D","master's degree","standard","none","62","57","52"
"female","group D","associate's degree","standard","none","60","59","71"
"male","group D","high school","free/reduced","completed","67","75","75"
"male","group C","some college","free/reduced","none","60","57","50"
"female","group C","some college","standard","completed","86","100","100"
"male","group C","associate's degree","standard","completed","66","68","69"
"female","group E","some college","free/reduced","none","68","65","66"
"male","group E","associate's degree","standard","none","94","90","89"
"female","group E","high school","free/reduced","completed","63","69","68"
"female","group C","associate's degree","standard","completed","76","78","82"
"male","group E","high school","standard","completed","81","63","62"
"male","group C","high school","standard","none","72","64","61"
"male","group D","associate's degree","standard","none","62","65","60"
"male","group B","associate's degree","free/reduced","none","45","40","43"
"male","group D","some high school","free/reduced","none","44","48","42"
"female","group D","high school","standard","none","50","50","59"
"male","group D","high school","free/reduced","none","73","65","63"
"male","group C","high school","free/reduced","completed","84","79","81"
"female","group E","high school","free/reduced","none","60","80","69"
"female","group E","associate's degree","free/reduced","completed","95","96","100"
"male","group B","high school","standard","completed","71","73","69"
"female","group C","high school","standard","none","56","72","68"
"female","group A","some college","free/reduced","none","61","62","68"
"male","group E","associate's degree","standard","none","100","95","94"
"male","group E","associate's degree","standard","completed","100","92","94"
"male","group D","high school","free/reduced","none","60","64","63"
"male","group D","master's degree","standard","completed","67","67","65"
"male","group C","associate's degree","standard","completed","80","76","76"
"female","group B","high school","standard","completed","77","87","91"
"male","group C","some college","standard","none","70","65","64"
"female","group C","some college","standard","completed","50","64","72"
"female","group D","bachelor's degree","standard","none","82","90","87"
"male","group C","some college","free/reduced","completed","60","65","68"
"female","group C","high school","standard","completed","67","70","78"
"female","group C","high school","free/reduced","completed","73","87","86"
"male","group E","high school","standard","none","86","73","69"
"female","group C","some college","standard","none","41","48","46"
"female","group B","associate's degree","free/reduced","none","48","77","73"
"female","group B","high school","free/reduced","none","39","49","49"
"female","group D","some high school","free/reduced","completed","34","60","62"
"female","group C","some college","standard","none","54","60","55"
"male","group C","master's degree","standard","none","99","95","93"
"female","group D","some high school","standard","completed","52","69","67"
"female","group D","some college","free/reduced","none","80","89","90"
"female","group E","associate's degree","free/reduced","none","66","88","81"
"female","group E","high school","standard","none","75","73","78"
"female","group D","associate's degree","free/reduced","none","56","65","74"
"male","group D","master's degree","standard","none","100","97","93"
"male","group C","some high school","standard","none","80","70","70"
"male","group C","some high school","standard","completed","48","49","43"
"male","group E","master's degree","free/reduced","none","59","51","50"
"male","group C","some college","free/reduced","none","47","50","48"
"male","group C","some high school","standard","none","69","67","64"
"female","group E","associate's degree","standard","none","55","59","56"
"female","group D","high school","standard","completed","71","75","81"
"female","group D","master's degree","free/reduced","none","44","55","55"
"male","group D","some high school","standard","none","95","74","81"
"female","group B","associate's degree","standard","completed","68","80","83"
"female","group C","some high school","standard","none","52","65","57"
"male","group B","some high school","standard","completed","83","88","86"
"female","group C","high school","free/reduced","completed","64","78","78"
"female","group B","high school","free/reduced","none","73","81","79"
"female","group E","bachelor's degree","free/reduced","none","47","57","55"
"female","group A","some college","standard","none","49","57","52"
"female","group C","bachelor's degree","standard","completed","93","100","100"
"male","group C","associate's degree","standard","none","58","61","51"
"male","group E","some college","standard","completed","86","88","90"
"male","group D","high school","standard","completed","68","65","69"
"male","group C","associate's degree","standard","none","76","72","69"
"female","group D","some high school","free/reduced","none","37","49","51"
"female","group D","some college","standard","completed","69","79","82"
"male","group D","associate's degree","standard","none","65","50","48"
"female","group A","some high school","free/reduced","completed","35","52","49"
"female","group C","high school","standard","completed","61","62","67"
"male","group D","some college","free/reduced","completed","47","52","54"
"male","group E","associate's degree","free/reduced","none","65","59","61"
"male","group E","high school","free/reduced","none","57","45","44"
"female","group D","some college","standard","none","55","64","61"
"male","group D","some high school","free/reduced","none","67","60","64"
"male","group C","high school","standard","completed","66","63","67"
"female","group C","bachelor's degree","standard","none","66","69","63"
"male","group B","some college","free/reduced","completed","55","61","55"
"female","group D","master's degree","standard","none","89","97","100"
"male","group C","high school","standard","completed","53","62","56"
"female","group C","some high school","standard","none","49","53","47"
"male","group D","high school","standard","completed","66","68","70"
"female","group A","some college","standard","none","67","78","71"
"male","group A","some college","standard","none","67","66","62"
"male","group D","associate's degree","standard","completed","70","68","75"
"female","group C","high school","free/reduced","completed","49","55","51"
"male","group D","high school","standard","completed","100","91","96"
"male","group D","some college","free/reduced","none","74","72","72"
"male","group C","some high school","standard","none","81","87","79"
"male","group C","some high school","free/reduced","completed","62","58","57"
"male","group B","some college","free/reduced","completed","67","67","66"
"female","group D","some college","free/reduced","none","60","68","65"
"female","group B","associate's degree","standard","completed","54","65","59"
"male","group B","high school","free/reduced","none","51","45","42"
"male","group A","high school","free/reduced","none","46","48","43"
"male","group B","some college","free/reduced","none","71","84","72"
"male","group D","high school","free/reduced","none","48","50","45"
"male","group B","some college","standard","none","74","73","69"
"male","group D","high school","standard","none","76","75","68"
"female","group D","bachelor's degree","free/reduced","completed","70","70","83"
"male","group D","associate's degree","free/reduced","none","71","72","72"
"female","group B","high school","standard","completed","61","72","76"
"male","group E","associate's degree","standard","none","89","86","77"
"female","group C","high school","free/reduced","none","43","53","49"
"male","group E","master's degree","standard","completed","67","60","60"
"male","group E","some high school","standard","none","58","67","56"
"male","group B","some college","free/reduced","completed","64","60","61"
"female","group C","high school","standard","none","71","76","79"
"male","group C","some college","free/reduced","completed","42","54","50"
"male","group B","associate's degree","standard","completed","92","91","92"
"male","group B","associate's degree","standard","none","72","72","65"
"female","group C","bachelor's degree","free/reduced","completed","47","60","54"
"female","group E","some college","free/reduced","none","63","59","59"
"male","group B","associate's degree","free/reduced","none","35","37","41"
"male","group C","some college","standard","none","79","66","65"
"male","group A","some college","standard","none","70","68","60"
"female","group D","bachelor's degree","standard","none","71","73","76"
"female","group A","associate's degree","standard","none","85","90","85"
"female","group D","high school","standard","completed","65","71","77"
"male","group D","some college","standard","none","61","57","45"
"female","group C","some college","standard","none","40","48","48"
"male","group D","some college","standard","completed","65","64","65"
"female","group B","master's degree","standard","none","62","77","72"
"female","group B","bachelor's degree","standard","none","65","63","68"
"female","group C","high school","standard","none","63","67","57"
"female","group E","high school","standard","none","72","77","74"
"male","group D","associate's degree","free/reduced","none","58","59","54"
"female","group B","some college","standard","completed","53","70","64"
"female","group D","some high school","standard","none","51","63","59"
"female","group C","some college","standard","none","74","83","82"
"female","group D","some high school","free/reduced","completed","54","74","68"
"female","group D","master's degree","standard","none","67","79","74"
"female","group C","some college","standard","none","73","87","88"
"female","group D","some college","standard","none","76","93","91"
"female","group C","high school","free/reduced","none","42","49","54"
"female","group C","bachelor's degree","standard","none","56","55","59"
"male","group A","some high school","standard","completed","87","80","84"
"male","group E","associate's degree","free/reduced","none","72","69","64"
"male","group C","some college","standard","none","81","87","72"
"male","group D","bachelor's degree","free/reduced","completed","91","91","97"
"male","group D","some college","standard","none","83","76","79"
"male","group E","associate's degree","free/reduced","none","79","71","72"
"female","group B","some college","standard","none","58","59","57"
"male","group B","some college","free/reduced","completed","82","83","84"
"female","group C","some college","free/reduced","none","57","70","68"
"male","group D","some high school","standard","completed","60","53","52"
"female","group D","high school","standard","none","56","62","64"
"female","group C","associate's degree","standard","completed","68","88","87"
"female","group C","high school","free/reduced","none","28","47","44"
"female","group E","some high school","free/reduced","none","75","89","82"
"female","group E","some high school","standard","none","60","69","67"
"male","group E","some college","free/reduced","none","70","62","60"
"male","group C","associate's degree","standard","none","79","69","72"
"male","group E","bachelor's degree","standard","none","83","78","74"
"female","group B","some college","standard","none","70","81","75"
"male","group D","high school","standard","none","57","47","41"
"female","group B","associate's degree","standard","none","65","71","67"
"male","group C","some high school","standard","none","87","73","73"
"female","group B","associate's degree","free/reduced","none","76","86","82"
"female","group B","master's degree","standard","completed","100","100","100"
"male","group D","some college","free/reduced","completed","81","86","82"
"male","group A","associate's degree","standard","completed","82","75","79"
"female","group C","high school","free/reduced","none","36","52","43"
"male","group D","high school","standard","completed","43","48","48"
"female","group D","high school","standard","completed","75","71","77"
"female","group C","associate's degree","standard","none","73","74","79"
"male","group C","some high school","standard","none","86","71","76"
"male","group B","bachelor's degree","standard","none","70","68","61"
"male","group C","master's degree","standard","none","64","62","64"
"male","group C","some high school","standard","completed","80","85","88"
"female","group C","high school","free/reduced","completed","36","43","47"
"female","group D","some college","standard","completed","86","100","97"
"male","group E","associate's degree","standard","none","56","49","51"
"female","group D","associate's degree","free/reduced","none","77","85","91"
"female","group B","some college","free/reduced","none","38","54","49"
"female","group A","some college","standard","none","53","50","51"
"male","group E","high school","free/reduced","none","53","56","48"
"male","group C","associate's degree","standard","none","69","58","62"
"female","group C","some high school","standard","completed","55","64","64"
"male","group C","high school","standard","none","53","50","41"
"male","group E","high school","standard","completed","61","53","48"
"female","group B","associate's degree","standard","none","44","50","44"
"male","group E","some college","free/reduced","none","49","59","46"
"male","group B","high school","standard","none","60","59","55"
"female","group B","some college","standard","completed","59","63","71"
"male","group C","associate's degree","standard","completed","68","66","65"
"female","group E","bachelor's degree","standard","completed","93","94","97"
"male","group D","some college","free/reduced","none","61","67","60"
"female","group B","some college","standard","none","71","72","78"
"male","group B","some high school","standard","none","61","55","54"
"female","group C","bachelor's degree","free/reduced","none","45","55","58"
"female","group C","some college","free/reduced","none","41","55","46"
"male","group B","some high school","standard","none","47","41","36"
"female","group D","associate's degree","standard","none","54","53","51"
"male","group A","some college","standard","none","64","63","55"
"male","group A","some high school","standard","none","60","54","53"
"male","group D","some college","standard","none","72","70","63"
"female","group D","associate's degree","standard","none","61","65","68"
"female","group C","some college","free/reduced","none","35","48","51"
"male","group A","master's degree","standard","none","82","84","83"
"female","group C","associate's degree","standard","none","67","83","80"
"male","group D","some high school","standard","completed","76","72","73"
"female","group C","associate's degree","free/reduced","none","46","62","63"
"male","group B","high school","free/reduced","completed","64","65","63"
"female","group B","bachelor's degree","free/reduced","completed","32","55","54"
"male","group D","high school","standard","none","56","50","50"
"male","group B","associate's degree","standard","none","100","79","77"
"male","group C","bachelor's degree","standard","none","52","53","54"
"female","group E","high school","standard","none","98","92","93"
"female","group D","high school","free/reduced","none","56","65","61"
"male","group C","high school","free/reduced","completed","58","57","52"
"female","group C","some high school","free/reduced","none","57","68","64"
"female","group D","high school","standard","none","68","68","65"
"female","group E","some high school","standard","completed","61","74","75"
"female","group E","associate's degree","free/reduced","completed","80","91","94"
"female","group C","high school","standard","completed","48","55","54"
"female","group E","bachelor's degree","standard","none","86","93","98"
"male","group C","some high school","free/reduced","none","19","34","25"
"male","group C","some college","standard","completed","100","100","99"
"male","group D","some college","standard","none","74","82","74"
"female","group B","some college","free/reduced","completed","50","72","71"
"male","group C","bachelor's degree","free/reduced","completed","74","75","74"
"female","group C","some high school","free/reduced","none","28","39","37"
"female","group B","associate's degree","free/reduced","none","54","68","60"
"male","group B","some high school","standard","completed","83","83","74"
"female","group D","master's degree","standard","none","89","97","99"
"female","group D","some college","free/reduced","none","50","61","63"
"male","group D","high school","free/reduced","completed","82","86","89"
"female","group B","some high school","standard","completed","53","69","67"
"male","group C","high school","standard","none","81","81","74"
"female","group B","bachelor's degree","standard","completed","60","69","74"
"male","group C","bachelor's degree","free/reduced","none","75","59","68"
"female","group C","master's degree","standard","none","77","80","83"
"female","group D","high school","standard","completed","78","90","93"
"male","group D","some college","standard","none","68","56","52"
"female","group A","high school","standard","completed","37","55","55"
"male","group C","some college","free/reduced","none","75","73","70"
"female","group C","associate's degree","free/reduced","completed","86","97","95"
"male","group D","associate's degree","standard","completed","80","79","82"
"female","group D","high school","free/reduced","completed","57","71","71"
"female","group C","bachelor's degree","standard","completed","53","62","65"
"male","group E","some college","standard","none","74","57","58"
"male","group C","bachelor's degree","standard","none","55","56","63"
"female","group E","master's degree","free/reduced","completed","79","89","93"
"male","group D","bachelor's degree","standard","none","89","77","77"
"female","group C","some high school","standard","none","59","63","53"
"male","group C","associate's degree","standard","none","82","62","61"
"female","group E","some college","standard","none","91","90","90"
"male","group B","associate's degree","standard","completed","79","77","78"
"male","group B","some college","standard","completed","52","49","51"
"male","group D","associate's degree","free/reduced","completed","73","77","75"
"male","group D","associate's degree","standard","none","87","76","75"
"female","group D","associate's degree","standard","none","55","69","70"
"male","group D","high school","free/reduced","completed","57","64","57"
"female","group B","associate's degree","standard","none","61","69","70"
"male","group C","high school","standard","completed","81","83","75"
"male","group A","some college","standard","none","67","68","57"
"female","group D","associate's degree","free/reduced","completed","63","66","66"
"male","group C","associate's degree","standard","completed","72","83","82"
"male","group C","some high school","standard","none","68","65","61"
"male","group C","high school","standard","none","54","35","36"
"male","group C","some high school","standard","completed","75","71","69"
"male","group D","some college","standard","none","74","77","71"
"female","group C","some college","free/reduced","none","44","62","59"
"female","group C","some college","standard","none","58","82","74"
"male","group C","some college","free/reduced","completed","48","42","42"
"male","group C","high school","standard","completed","71","62","64"
"female","group A","some college","free/reduced","none","45","44","47"
"female","group C","some college","free/reduced","none","62","73","74"
"female","group E","some high school","standard","completed","67","70","70"
"male","group A","high school","standard","completed","65","66","64"
"female","group C","some college","standard","none","77","73","76"
"female","group E","bachelor's degree","free/reduced","none","87","89","88"
"female","group B","associate's degree","standard","none","74","80","80"
"male","group C","associate's degree","free/reduced","completed","82","82","77"
"female","group D","some college","standard","none","85","96","97"
"female","group A","some college","standard","none","82","78","79"
"male","group D","some college","standard","none","89","82","87"
"female","group C","high school","free/reduced","completed","63","80","85"
"female","group B","associate's degree","standard","completed","93","100","100"
"female","group B","associate's degree","free/reduced","none","34","38","44"
"male","group E","associate's degree","standard","completed","95","84","82"
"male","group C","some high school","standard","none","47","45","47"
"female","group C","high school","standard","completed","80","92","86"
"female","group D","some college","free/reduced","none","48","57","55"
"female","group D","some high school","standard","none","57","65","69"
"female","group C","high school","free/reduced","completed","39","51","53"
"male","group E","some high school","standard","completed","76","66","66"
"female","group C","master's degree","standard","none","84","94","91"
"female","group C","some college","free/reduced","none","47","64","64"
"male","group C","associate's degree","standard","none","98","90","85"
"female","group D","associate's degree","standard","none","77","79","79"
"male","group C","associate's degree","standard","none","63","67","57"
"female","group C","some college","standard","completed","69","83","83"
"male","group B","master's degree","free/reduced","none","59","61","58"
"female","group C","some college","standard","none","74","90","85"
"male","group A","some high school","free/reduced","none","45","47","44"
"male","group D","some college","free/reduced","none","54","56","56"
"female","group C","some high school","standard","completed","62","69","72"
"female","group B","bachelor's degree","standard","none","60","50","56"
"female","group D","master's degree","standard","none","63","80","80"
"male","group C","some high school","free/reduced","completed","44","39","41"
"female","group C","some college","standard","completed","96","100","100"
"female","group E","high school","free/reduced","completed","73","82","89"
"female","group D","bachelor's degree","free/reduced","none","65","87","84"
"male","group B","bachelor's degree","free/reduced","none","56","62","58"
"male","group B","master's degree","standard","completed","92","81","91"
"female","group C","associate's degree","free/reduced","completed","50","68","74"
"female","group D","bachelor's degree","standard","completed","75","76","83"
"female","group E","some college","standard","completed","82","88","92"
"female","group B","some high school","free/reduced","none","58","76","68"
"female","group C","high school","free/reduced","completed","42","53","62"
"male","group B","associate's degree","standard","none","80","72","64"
"male","group C","bachelor's degree","free/reduced","none","62","58","52"
"female","group A","high school","standard","none","76","78","77"
"male","group E","associate's degree","standard","completed","90","80","81"
"female","group E","high school","free/reduced","completed","65","70","74"
"female","group B","high school","standard","none","43","51","42"
"male","group C","master's degree","standard","completed","100","88","92"
"male","group C","some high school","standard","completed","84","69","74"
"female","group E","associate's degree","standard","none","94","97","97"
"female","group E","associate's degree","standard","none","88","89","86"
"male","group C","associate's degree","standard","none","61","54","58"
"male","group C","some high school","standard","none","59","61","58"
"male","group D","high school","standard","completed","45","49","47"
"male","group C","associate's degree","free/reduced","none","28","32","27"
"male","group A","some high school","free/reduced","completed","46","48","50"
"male","group C","associate's degree","free/reduced","completed","66","62","57"
"female","group C","some college","standard","none","34","43","44"
"male","group C","associate's degree","standard","completed","94","92","87"
"female","group C","some college","standard","none","55","65","68"
"male","group C","some college","standard","none","90","86","81"
"male","group E","some high school","standard","completed","80","79","79"
"male","group C","some high school","standard","none","78","70","71"
"female","group C","some high school","free/reduced","completed","46","58","59"
"male","group D","some high school","standard","completed","75","74","77"
"female","group C","some high school","standard","completed","85","84","89"
"male","group E","high school","free/reduced","none","60","52","51"
"female","group B","some high school","free/reduced","none","67","79","78"
"male","group B","bachelor's degree","standard","none","54","33","39"
"male","group D","some high school","free/reduced","none","57","61","56"
"male","group B","bachelor's degree","standard","none","77","77","76"
"male","group D","high school","standard","none","84","89","79"
"male","group C","some high school","standard","none","44","34","31"
"female","group A","high school","standard","completed","61","76","76"
"female","group A","some college","free/reduced","none","35","51","47"
"female","group D","high school","standard","none","69","84","78"
"male","group B","some college","standard","completed","77","65","71"
"female","group C","some high school","free/reduced","completed","43","62","55"
"male","group D","associate's degree","standard","none","58","60","57"
"male","group B","some college","standard","completed","65","67","68"
"female","group A","bachelor's degree","free/reduced","completed","44","62","62"
"female","group E","high school","standard","none","80","86","82"
"male","group C","high school","standard","none","70","67","65"
"male","group B","bachelor's degree","free/reduced","completed","58","56","58"
"female","group E","bachelor's degree","standard","none","98","100","95"
"male","group D","some college","standard","none","41","31","27"
"female","group C","bachelor's degree","standard","none","69","68","67"
"female","group C","some high school","free/reduced","completed","69","79","79"
"male","group B","associate's degree","free/reduced","none","85","68","69"
"female","group C","some high school","standard","none","79","97","90"
"female","group D","associate's degree","standard","completed","67","66","74"
"male","group D","high school","free/reduced","none","40","48","45"
"female","group D","associate's degree","standard","none","45","53","56"
"male","group A","associate's degree","standard","completed","45","51","39"
"male","group C","associate's degree","free/reduced","none","39","58","47"
"female","group D","high school","free/reduced","none","55","65","58"
"female","group E","some college","standard","completed","64","59","63"
"female","group C","high school","standard","completed","38","53","55"
"male","group D","some college","free/reduced","none","59","51","53"
"male","group D","some high school","standard","none","92","80","78"
"female","group D","bachelor's degree","free/reduced","none","46","68","67"
"male","group D","master's degree","free/reduced","completed","78","81","77"
"male","group A","some high school","standard","none","63","53","48"
"female","group C","master's degree","standard","none","52","64","69"
"male","group A","high school","standard","completed","55","51","46"
"female","group B","some college","free/reduced","none","62","82","68"
"male","group B","high school","standard","none","88","77","78"
"male","group D","some college","free/reduced","completed","93","87","87"
"male","group B","bachelor's degree","standard","none","69","66","65"
"female","group A","associate's degree","free/reduced","completed","66","77","79"
"male","group E","some high school","standard","completed","67","64","63"
"female","group B","master's degree","free/reduced","none","55","65","67"
"female","group E","high school","free/reduced","none","66","73","67"
"female","group E","some high school","free/reduced","none","61","71","70"
"female","group A","some college","standard","none","55","55","58"
"female","group C","some college","free/reduced","none","71","90","88"
"female","group D","associate's degree","standard","none","49","55","56"
"female","group B","high school","standard","none","50","53","48"
"male","group C","some high school","standard","completed","59","54","53"
"female","group B","some high school","free/reduced","none","14","37","31"
"male","group C","some high school","free/reduced","none","39","42","33"
"female","group B","high school","free/reduced","completed","51","68","70"
"female","group C","associate's degree","standard","none","76","82","87"
"male","group B","associate's degree","standard","none","60","49","52"
"female","group C","high school","standard","none","55","69","66"
"female","group C","master's degree","standard","none","84","86","88"
"male","group D","some college","standard","none","96","91","87"
"female","group B","some high school","standard","none","42","43","49"
"female","group C","some high school","standard","completed","81","85","91"
"male","group C","bachelor's degree","standard","none","75","77","78"
"male","group C","some college","standard","completed","72","73","77"
"female","group C","high school","free/reduced","completed","59","65","67"
"female","group C","some college","free/reduced","completed","55","66","67"
"male","group D","some college","free/reduced","none","41","43","37"
"female","group D","associate's degree","standard","completed","60","66","74"
"female","group B","master's degree","free/reduced","completed","39","55","57"
"female","group C","high school","standard","completed","51","51","57"
"female","group B","some high school","standard","none","45","52","57"
"female","group B","some high school","standard","none","62","59","61"
"female","group C","some high school","standard","none","65","73","79"
"female","group E","some college","standard","none","71","70","68"
"female","group C","bachelor's degree","standard","none","65","69","71"
"female","group B","some college","standard","completed","43","52","54"
"female","group C","associate's degree","standard","completed","73","84","78"
"female","group C","some high school","standard","none","75","88","79"
"female","group C","high school","standard","none","60","77","72"
"male","group B","high school","standard","none","59","45","44"
"female","group C","some college","standard","none","60","75","71"
"female","group B","associate's degree","standard","none","77","87","84"
"male","group C","associate's degree","standard","none","84","79","76"
"female","group B","high school","standard","completed","57","66","74"
"female","group B","associate's degree","standard","none","84","92","93"
"male","group E","high school","standard","none","60","51","46"
"female","group C","bachelor's degree","standard","none","75","86","87"
"female","group B","some college","standard","completed","60","62","72"
"female","group B","bachelor's degree","standard","completed","72","71","73"
"male","group C","associate's degree","standard","none","54","64","64"
"male","group C","associate's degree","standard","none","80","77","67"
"male","group A","high school","free/reduced","none","72","69","68"
"male","group C","some high school","free/reduced","completed","60","71","67"
"female","group D","high school","standard","completed","76","83","80"
"female","group E","some high school","free/reduced","none","78","87","82"
"male","group E","some high school","free/reduced","none","77","74","67"
"female","group D","associate's degree","free/reduced","completed","52","64","69"
"male","group D","high school","free/reduced","completed","59","77","76"
"male","group D","high school","free/reduced","completed","75","73","76"
"female","group C","some college","standard","completed","60","56","58"
"male","group C","high school","free/reduced","completed","47","49","48"
"male","group C","associate's degree","free/reduced","completed","58","59","60"
"female","group C","some college","free/reduced","none","54","68","55"
"male","group E","high school","standard","none","74","72","64"
"male","group D","high school","standard","none","70","76","66"
"female","group B","bachelor's degree","standard","completed","99","100","100"
"female","group C","some college","free/reduced","none","74","85","81"
"female","group B","high school","standard","none","83","90","88"
"female","group C","associate's degree","free/reduced","none","39","57","48"
"female","group E","high school","standard","completed","85","89","92"
"female","group D","some college","free/reduced","none","74","77","75"
"male","group C","high school","standard","none","76","71","65"
"female","group B","associate's degree","standard","none","57","59","67"
"male","group C","some high school","free/reduced","completed","51","56","62"
"male","group C","some high school","standard","none","57","49","50"
"male","group C","associate's degree","free/reduced","none","57","54","55"
